मैं,I
मुझे,I
मुझको,I
हम,we
हमें,we
तुम,you
तू,you
तुम्हें,you
तुझको,you
तुझे,you
तुझको,you
तुमको,you
आप,you
आपको,you
आपसे,you
वह,he
वह,she
वे,they
वो,they
उन्हें,they
उनको,they
यह,it
यह,it
इसे,it
इन्हें,he
इन्हें,she
उन्हें,he
उन्हें,she
इसे,she
इसे,he
उसे,he
उसे,she
इसको,he
उसको,he
मुझे,I
मुझको,I
हमें,we
हमसे,we
तुझको,you
तुमको,you
तुमसे,you
आपसे,you
उसे,he
उसे,she
उसको,he
उसको,she
इन्हें,he
इन्हें,she
इसे,he
इसे,she
उन्हें,he
उन्हें,she
उन लोगों को,they
उन्हें,they
उन्हें,they
इन्हें,they
उनको,they
इनको,they
इसे,it
इसे,it
इसको,it
इसको,it
मुझे,I
मुझको,I
हमें,we
हमको,we
तुझे,you
उसे,he
उसे,she
इन्हें,he
इन्हें,she
इसे,he
इसे,she
उसको,he
उसको,she
उन्हें,he
उन्हें,she
उन्हें,they
उनको,they
उनसे,they
इसे,it
इसको,it
इनसे,they
मेर्,I
अपन्,I
हमार्,we
तुम्हार्,you
तुम लोगों का,you
तेर्,you
अपने,you
आपक्,you
उसक्,he
उसक्,she
उनकी,he
उनकी,she
उनके,he
उनके,she
इनकी,he
इनकी,she
अपने,he
अपने,she
अपन्,he
अपन्,she
इनक्,they
इनक्,they
इसक्,it
उनक्,they
उनके,they
इनके,he
इनके,they
इन लोगों का,they
मेरा,I
हमारा,we
अपन्,we
तुम्हार्,
आपक्,you
उसक्,she
उनक्,they
स्वयं,I
खुद,I
अपने आप,I
अपने से,we
अपने आप,we
अपने आप,you
अपने आप,you
अपने से,you
अपने से,you
स्वयं से,you
स्वयं से,you
अपने से,you
अपने से,you
अपने आप,he
अपने से,he
अपने आप,she
अपने से,she
अपनेसे,it
अपने आप,it
स्वतः,
स्वयं,it
स्वयं से,they
अपने आप,they
स्वयं से,one
अपने आप,one
यह,this
वह,that
वे,those
ये,these
वो,those
कोई,someone
कोई,somebody
कोई भी,anyone
कोई भी,anybody
दोनों,both
कोई नहीं,no one
कोई भी नहीं,no one
कोई नहीं,nobody
कोई नहीं,no one
कोई न कोई,somebody
कोई न कोई,someone
किसी,anybody
किसी,somebody
किसी,someone
किसी-किसी,somebody
किसी न किसी,
किसी न किसी,somebody
किन्ही-किन्ही लोगों,
किसी-किसी,someone
किसी में नहीं,no one
और कोई,someone else
कुछ,something
कुछ,anything
कुछ न कुछ,something
कुछ भी,anything
काफ़ी,enough
प्रत्येक व्यक्ति,
प्रत्येक,
